"x","y"
"1",1.01,0.7622
"2",1.02,0.6685
"3",1.03,0.6499
"4",1.04,0.6257
"5",1.05,0.9724
"6",1.06,0.3936
"7",1.07,0.6709
"8",1.08,1.0553
"9",1.09,0.8346
"10",1.1,0.8946
"11",1.11,1.0324
"12",1.12,0.7899
"13",1.13,0.7344
"14",1.14,0.7615
"15",1.15,0.7115
"16",1.16,0.9081
"17",1.17,1.0098
"18",1.18,0.8741
"19",1.19,0.65
"20",1.2,0.8268
"21",1.21,1.0418
"22",1.22,1.1189
"23",1.23,1.1645
"24",1.24,0.8077
"25",1.25,0.8783
"26",1.26,0.7853
"27",1.27,0.9134
"28",1.28,0.9113
"29",1.29,0.7485
"30",1.3,1.3667
"31",1.31,1.0778
"32",1.32,1.304
"33",1.33,1.1438
"34",1.34,0.9798
"35",1.35,1.3035
"36",1.36,1.3637
"37",1.37,0.9257
"38",1.38,1.2019
"39",1.39,1.1117
"40",1.4,1.2105
"41",1.41,1.3637
"42",1.42,1.1609
"43",1.43,1.1701
"44",1.44,1.3652
"45",1.45,1.4871
"46",1.46,1.3857
"47",1.47,1.4849
"48",1.48,1.3424
"49",1.49,1.0991
"50",1.5,1.6116
"51",1.51,1.3109
"52",1.52,1.2781
"53",1.53,1.4524
"54",1.54,1.3513
"55",1.55,1.3722
"56",1.56,1.4701
"57",1.57,1.3586
"58",1.58,1.4353
"59",1.59,1.3125
"60",1.6,1.4049
"61",1.61,1.2459
"62",1.62,1.3741
"63",1.63,1.4498
"64",1.64,1.6067
"65",1.65,1.3919
"66",1.66,1.6679
"67",1.67,1.3746
"68",1.68,1.3191
"69",1.69,1.7738
"70",1.7,1.2255
"71",1.71,1.3586
"72",1.72,1.7892
"73",1.73,1.638
"74",1.74,1.7851
"75",1.75,1.694
"76",1.76,1.8521
"77",1.77,1.908
"78",1.78,1.7504
"79",1.79,1.5834
"80",1.8,1.6839
"81",1.81,1.8431
"82",1.82,2.1503
"83",1.83,1.5153
"84",1.84,1.6537
"85",1.85,1.7567
"86",1.86,1.8737
"87",1.87,1.8164
"88",1.88,2.2024
"89",1.89,2.0123
"90",1.9,1.7067
"91",1.91,2.0755
"92",1.92,1.9569
"93",1.93,1.8805
"94",1.94,1.9587
"95",1.95,2.048
"96",1.96,2.2309
"97",1.97,2.2131
"98",1.98,1.9357
"99",1.99,2.1489
"100",2,1.9522
"101",2.01,2.185
"102",2.02,1.9431
"103",2.03,2.213
"104",2.04,2.1418
"105",2.05,2.2867
"106",2.06,2.2784
"107",2.07,2.0957
"108",2.08,2.2654
"109",2.09,2.084
"110",2.1,2.3839
"111",2.11,2.1455
"112",2.12,2.2012
"113",2.13,2.1128
"114",2.14,2.2795
"115",2.15,2.3605
"116",2.16,2.0787
"117",2.17,2.2321
"118",2.18,2.1774
"119",2.19,2.3542
"120",2.2,2.6774
"121",2.21,2.5665
"122",2.22,2.4357
"123",2.23,2.1248
"124",2.24,2.2585
"125",2.25,2.4308
"126",2.26,2.3635
"127",2.27,2.3744
"128",2.28,2.7171
"129",2.29,2.2436
"130",2.3,2.4721
"131",2.31,2.8085
"132",2.32,2.3896
"133",2.33,2.7861
"134",2.34,2.5476
"135",2.35,2.7949
"136",2.36,2.793
"137",2.37,2.9016
"138",2.38,2.8511
"139",2.39,2.5918
"140",2.4,2.6211
"141",2.41,2.5663
"142",2.42,3.0949
"143",2.43,2.5498
"144",2.44,2.6171
"145",2.45,2.7962
"146",2.46,2.9554
"147",2.47,2.9281
"148",2.48,2.9527
"149",2.49,2.8942
"150",2.5,3.156
"151",2.51,2.8275
"152",2.52,2.9067
"153",2.53,3.1953
"154",2.54,2.8172
"155",2.55,2.618
"156",2.56,2.8633
"157",2.57,2.8638
"158",2.58,2.9831
"159",2.59,3.1331
"160",2.6,3.2579
"161",2.61,2.8557
"162",2.62,3.3399
"163",2.63,3.1934
"164",2.64,3.1372
"165",2.65,3.034
"166",2.66,3.1765
"167",2.67,3.3972
"168",2.68,3.0606
"169",2.69,3.4198
"170",2.7,3.3869
"171",2.71,3.1454
"172",2.72,3.3514
"173",2.73,3.3159
"174",2.74,3.4348
"175",2.75,3.3082
"176",2.76,3.1949
"177",2.77,3.3571
"178",2.78,3.2082
"179",2.79,3.4791
"180",2.8,3.378
"181",2.81,3.754
"182",2.82,3.2798
"183",2.83,3.4116
"184",2.84,3.5186
"185",2.85,3.4911
"186",2.86,3.6163
"187",2.87,3.2462
"188",2.88,3.686
"189",2.89,3.4972
"190",2.9,3.6344
"191",2.91,3.3629
"192",2.92,3.6222
"193",2.93,3.3326
"194",2.94,3.6673
"195",2.95,3.2449
"196",2.96,3.7989
"197",2.97,3.803
"198",2.98,3.4779
"199",2.99,3.6474
"200",3,3.6443
"201",3.01,3.7585
"202",3.02,3.8782
"203",3.03,3.9225
"204",3.04,3.6358
"205",3.05,3.6384
"206",3.06,3.8873
"207",3.07,3.6456
"208",3.08,3.6125
"209",3.09,4.0183
"210",3.1,3.7049
"211",3.11,3.6528
"212",3.12,3.7912
"213",3.13,3.7626
"214",3.14,4.0535
"215",3.15,3.9316
"216",3.16,3.8209
"217",3.17,3.8737
"218",3.18,4.1593
"219",3.19,4.1306
"220",3.2,3.9168
"221",3.21,4.1463
"222",3.22,3.7671
"223",3.23,4.1718
"224",3.24,4.1087
"225",3.25,4.0696
"226",3.26,3.9128
"227",3.27,4.2168
"228",3.28,4.1277
"229",3.29,4.2199
"230",3.3,4.3778
"231",3.31,4.2159
"232",3.32,3.83
"233",3.33,4.0719
"234",3.34,4.0508
"235",3.35,4.3906
"236",3.36,4.0456
"237",3.37,4.2787
"238",3.38,4.1959
"239",3.39,4.4795
"240",3.4,4.3456
"241",3.41,4.2304
"242",3.42,4.5009
"243",3.43,4.4187
"244",3.44,4.2062
"245",3.45,4.2464
"246",3.46,4.4326
"247",3.47,4.3797
"248",3.48,4.4532
"249",3.49,4.1478
"250",3.5,4.1284
